URL,Restaurant Name,Overall Rating,Number of Reviews,Food Type
https://www.yelp.com/biz/lou-shang-%E6%A5%BC%E4%B8%8A-singapore?osq=Restaurants,Lou Shang 楼上,4.0,1,Themed Cafes
https://www.yelp.com/biz/miyabi-japanese-restaurant-singapore?osq=Restaurants,Miyabi Japanese Restaurant,4.5,2,Japanese
https://www.yelp.com/biz/grazie-singapore?osq=Restaurants,Grazie,4.5,2,Italian
https://www.yelp.com/biz/two-men-bagel-house-singapore-4?osq=Restaurants,Two Men Bagel House,4.8,22,"Breakfast & Brunch, Bagels"
https://www.yelp.com/biz/famous-sungei-road-trishaw-laksa-singapore-2?osq=Restaurants,Famous Sungei Road Trishaw Laksa,4.5,11,"Hawker Centre, Asian Fusion"
https://www.yelp.com/biz/katong-keah-kee-singapore?osq=Restaurants,Katong Keah Kee,4.5,2,"Seafood, Specialty Food, Street Vendors"
https://www.yelp.com/biz/usman-restaurant-singapore?osq=Restaurants,Usman Restaurant,3.9,39,Indian
https://www.yelp.com/biz/hainanese-delicacy-chicken-rice-singapore?osq=Restaurants,Hainanese Delicacy Chicken Rice,4.3,41,"Chicken Shop, Hainan"
https://www.yelp.com/biz/lighthouse-bistro-singapore?osq=Restaurants,Lighthouse Bistro,5.0,1,Bistros
https://www.yelp.com/biz/lang-nuong-viet-nam-singapore?osq=Restaurants,Lang Nuong Viet Nam,3.4,7,"Vietnamese, Barbeque"
https://www.yelp.com/biz/vatos-urban-tacos-singapore?osq=Restaurants,Vatos Urban Tacos,3.9,93,Mexican
https://www.yelp.com/biz/vietnamese-stall-sim-lim-square-food-court-singapore?osq=Restaurants,Vietnamese Stall - Sim Lim Square Food Court,4.3,4,Vietnamese
https://www.yelp.com/biz/founder-bak-kut-teh-no-title?osq=Restaurants,Founder Bak Kut Teh,4.3,15,Singaporean
https://www.yelp.com/biz/tanglin-food-hall-singapore?osq=Restaurants,Tanglin Food Hall,4.0,4,Food Court
https://www.yelp.com/biz/earlybird-singapore?osq=Restaurants,Earlybird,4.5,11,"Cafes, Breakfast & Brunch"
https://www.yelp.com/biz/coriander-leaf-grill-singapore?osq=Restaurants,Coriander Leaf Grill,4.5,2,"Asian Fusion, Bars"
https://www.yelp.com/biz/wee-nam-kee-chicken-rice-singapore?osq=Restaurants,Wee Nam Kee Chicken Rice,4.3,54,"Chicken Shop, Hainan"
https://www.yelp.com/biz/three-buns-singapore-2?osq=Restaurants,Three Buns,4.4,11,"Burgers, Cocktail Bars"
https://www.yelp.com/biz/jai-thai-singapore-2?osq=Restaurants,Jai Thai,3.8,17,Thai
https://www.yelp.com/biz/the-boiler-seafood-bar-and-beer-singapore?osq=Restaurants,The BOILER Seafood Bar & Beer,4.1,17,"Seafood, Bars"
https://www.yelp.com/biz/ji-ji-wanton-noodle-specialist-singapore?osq=Restaurants,Ji Ji Wanton Noodle Specialist,4.5,8,Chinese
https://www.yelp.com/biz/dian-xiao-er-singapore-5?osq=Restaurants,Dian Xiao Er,5.0,3,Chinese
https://www.yelp.com/biz/lau-pa-sat-singapore?osq=Restaurants,Lau Pa Sat,4.5,12,"Singaporean, Chinese, Indian"
https://www.yelp.com/biz/a-noodle-story-singapore?osq=Restaurants,A Noodle Story,4.4,30,"Food Stands, Ramen, Singaporean"
https://www.yelp.com/biz/joo-bar-singapore?osq=Restaurants,Joo Bar,4.1,10,Korean
https://www.yelp.com/biz/the-garden-sentosa-singapore?osq=Restaurants,The Garden @ Sentosa,5.0,2,Modern European
https://www.yelp.com/biz/national-kitchen-by-violet-oon-singapore-2?osq=Restaurants,National Kitchen By Violet Oon,4.4,58,"Asian Fusion, Singaporean"
https://www.yelp.com/biz/almost-famous-singapore?osq=Restaurants,Almost Famous,5.0,1,"Singaporean, Beer Bar"
https://www.yelp.com/biz/tian-tian-seafood-restaurant-singapore?osq=Restaurants,Tian Tian Seafood Restaurant,4.7,3,"Seafood, Chinese"
https://www.yelp.com/biz/caffe-fernet-singapura?osq=Restaurants,Caffe Fernet,4.5,4,"Italian, Cocktail Bars"
https://www.yelp.com/biz/ya-hua-bak-kut-teh-singapore-3?osq=Restaurants,Ya Hua Bak Kut Teh,5.0,1,Chinese
https://www.yelp.com/biz/the-clueless-goat-singapore?osq=Restaurants,The Clueless Goat,3.9,17,"Coffee & Tea, Breakfast & Brunch"
https://www.yelp.com/biz/craftsmen-specialty-coffee-singapore-4?osq=Restaurants,Craftsmen Specialty Coffee,5.0,7,"Coffee & Tea, Breakfast & Brunch, Juice Bars & Smoothies"
https://www.yelp.com/biz/house-of-peranakan-petit-singapore-3?osq=Restaurants,,,,
https://www.yelp.com/biz/kazu-sumiyaki-singapore?osq=Restaurants,Kazu Sumiyaki,4.5,18,Japanese
https://www.yelp.com/biz/shukuu-izakaya-singapore?osq=Restaurants,ShuKuu Izakaya,4.2,11,Izakaya
https://www.yelp.com/biz/old-chengdu-sichuan-cuisine-singapore?osq=Restaurants,Old Chengdu Sichuan Cuisine,4.1,12,"Szechuan, Imported Food"
https://www.yelp.com/biz/hambaobao-singapore?osq=Restaurants,Hambaobao,4.3,10,Burgers
https://www.yelp.com/biz/blue-lotus-chinese-eating-house-quayside-isle?osq=Restaurants,Blue Lotus Chinese Eating House,4.3,6,Chinese
https://www.yelp.com/biz/syip-singapore?osq=Restaurants,SYIP,4.0,1,"Breakfast & Brunch, Coffee & Tea"
https://www.yelp.com/biz/tai-liok-claypot-chicken-rice-singapore?osq=Restaurants,Tai Liok Claypot Chicken Rice,5.0,1,"Street Vendors, Chinese"
